id,title,summary,authors,published,keywords
http://arxiv.org/abs/cs/9809020v1,Linear Segmentation and Segment Significance,"We present a new method for discovering a segmental discourse structure of a
document while categorizing segment function. We demonstrate how retrieval of
noun phrases and pronominal forms, along with a zero-sum weighting scheme,
determines topicalized segmentation. Futhermore, we use term distribution to
aid in identifying the role that the segment performs in the document. Finally,
we present results of evaluation in terms of precision and recall which surpass
earlier approaches.","['Min-Yen Kan', 'Judith L. Klavans', 'Kathleen R. McKeown']",1998-09-15T23:49:32Z,"['segment', 'document', 'present', 'segmentation', 'term', 'aid', 'aid identifying', 'along', 'along zero', 'approach', 'categorizing', 'categorizing segment', 'demonstrate', 'demonstrate retrieval', 'determines']"
http://arxiv.org/abs/cs/9809022v1,"Modelling Users, Intentions, and Structure in Spoken Dialog","We outline how utterances in dialogs can be interpreted using a partial first
order logic. We exploit the capability of this logic to talk about the truth
status of formulae to define a notion of coherence between utterances and
explain how this coherence relation can serve for the construction of AND/OR
trees that represent the segmentation of the dialog. In a BDI model we
formalize basic assumptions about dialog and cooperative behaviour of
participants. These assumptions provide a basis for inferring speech acts from
coherence relations between utterances and attitudes of dialog participants.
Speech acts prove to be useful for determining dialog segments defined on the
notion of completing expectations of dialog participants. Finally, we sketch
how explicit segmentation signalled by cue phrases and performatives is covered
by our dialog model.","['Bernd Ludwig', 'Guenther Goerz', 'Heinrich Niemann']",1998-09-17T11:10:14Z,"['dialog', 'coherence', 'participant', 'utterance', 'act', 'assumption', 'coherence relation', 'dialog participant', 'logic', 'model', 'notion', 'relation', 'segmentation', 'speech', 'speech act']"
http://arxiv.org/abs/cs/9809024v2,A Lexicalized Tree Adjoining Grammar for English,"This document describes a sizable grammar of English written in the TAG
formalism and implemented for use with the XTAG system. This report and the
grammar described herein supersedes the TAG grammar described in an earlier
1995 XTAG technical report. The English grammar described in this report is
based on the TAG formalism which has been extended to include lexicalization,
and unification-based feature structures. The range of syntactic phenomena that
can be handled is large and includes auxiliaries (including inversion), copula,
raising and small clause constructions, topicalization, relative clauses,
infinitives, gerunds, passives, adjuncts, it-clefts, wh-clefts, PRO
constructions, noun-noun modifications, extraposition, determiner sequences,
genitives, negation, noun-verb contractions, sentential adjuncts and
imperatives. This technical report corresponds to the XTAG Release 8/31/98. The
XTAG grammar is continuously updated with the addition of new analyses and
modification of old ones, and an online version of this report can be found at
the XTAG web page at http://www.cis.upenn.edu/~xtag/",[' XTAG Research Group'],1998-09-18T00:33:47Z,"['grammar', 'xtag', 'report', 'described', 'english', 'grammar described', 'noun', 'tag', 'adjunct', 'based', 'clause', 'cleft', 'construction', 'formalism', 'grammar english']"
http://arxiv.org/abs/cs/9809026v1,Prefix Probabilities from Stochastic Tree Adjoining Grammars,"Language models for speech recognition typically use a probability model of
the form Pr(a_n | a_1, a_2, ..., a_{n-1}). Stochastic grammars, on the other
hand, are typically used to assign structure to utterances. A language model of
the above form is constructed from such grammars by computing the prefix
probability Sum_{w in Sigma*} Pr(a_1 ... a_n w), where w represents all
possible terminations of the prefix a_1 ... a_n. The main result in this paper
is an algorithm to compute such prefix probabilities given a stochastic Tree
Adjoining Grammar (TAG). The algorithm achieves the required computation in
O(n^6) time. The probability of subderivations that do not derive any words in
the prefix, but contribute structurally to its derivation, are precomputed to
achieve termination. This algorithm enables existing corpus-based estimation
techniques for stochastic TAGs to be used for language modelling.","['Mark-Jan Nederhof', 'Anoop Sarkar', 'Giorgio Satta']",1998-09-18T03:45:45Z,"['prefix', 'probability', 'grammar', 'stochastic', 'a_1', 'a_n', 'algorithm', 'language', 'model', 'prefix probability', 'a_1 a_n', 'adjoining', 'adjoining grammar', 'form', 'language model']"
http://arxiv.org/abs/cs/9809027v1,Conditions on Consistency of Probabilistic Tree Adjoining Grammars,"Much of the power of probabilistic methods in modelling language comes from
their ability to compare several derivations for the same string in the
language. An important starting point for the study of such cross-derivational
properties is the notion of _consistency_. The probability model defined by a
probabilistic grammar is said to be _consistent_ if the probabilities assigned
to all the strings in the language sum to one. From the literature on
probabilistic context-free grammars (CFGs), we know precisely the conditions
which ensure that consistency is true for a given CFG. This paper derives the
conditions under which a given probabilistic Tree Adjoining Grammar (TAG) can
be shown to be consistent. It gives a simple algorithm for checking consistency
and gives the formal justification for its correctness. The conditions derived
here can be used to ensure that probability models that use TAGs can be checked
for _deficiency_ (i.e. whether any probability mass is assigned to strings that
cannot be generated).",['Anoop Sarkar'],1998-09-18T03:58:57Z,"['probabilistic', 'condition', 'grammar', 'probability', 'consistency', 'language', 'string', 'adjoining', 'adjoining grammar', 'assigned', 'assigned string', 'ensure', 'give', 'given', 'model']"
http://arxiv.org/abs/cs/9809028v1,Separating Dependency from Constituency in a Tree Rewriting System,"In this paper we present a new tree-rewriting formalism called Link-Sharing
Tree Adjoining Grammar (LSTAG) which is a variant of synchronous TAGs. Using
LSTAG we define an approach towards coordination where linguistic dependency is
distinguished from the notion of constituency. Such an approach towards
coordination that explicitly distinguishes dependencies from constituency gives
a better formal understanding of its representation when compared to previous
approaches that use tree-rewriting systems which conflate the two issues.",['Anoop Sarkar'],1998-09-18T04:44:02Z,"['tree', 'approach', 'constituency', 'dependency', 'rewriting', 'tree rewriting', 'approach towards', 'coordination', 'dependency constituency', 'lstag', 'rewriting system', 'system', 'towards', 'towards coordination', 'adjoining']"
http://arxiv.org/abs/cs/9809029v1,Incremental Parser Generation for Tree Adjoining Grammars,"This paper describes the incremental generation of parse tables for the
LR-type parsing of Tree Adjoining Languages (TALs). The algorithm presented
handles modifications to the input grammar by updating the parser generated so
far. In this paper, a lazy generation of LR-type parsers for TALs is defined in
which parse tables are created by need while parsing. We then describe an
incremental parser generator for TALs which responds to modification of the
input grammar by updating parse tables built so far.",['Anoop Sarkar'],1998-09-18T05:03:48Z,"['parser', 'generation', 'grammar', 'incremental', 'parse', 'parse table', 'table', 'tals', 'adjoining', 'far', 'grammar updating', 'incremental parser', 'input', 'input grammar', 'modification']"
http://arxiv.org/abs/cs/9809050v1,"A Freely Available Morphological Analyzer, Disambiguator and Context
  Sensitive Lemmatizer for German","In this paper we present Morphy, an integrated tool for German morphology,
part-of-speech tagging and context-sensitive lemmatization. Its large lexicon
of more than 320,000 word forms plus its ability to process German compound
nouns guarantee a wide morphological coverage. Syntactic ambiguities can be
resolved with a standard statistical part-of-speech tagger. By using the output
of the tagger, the lemmatizer can determine the correct root even for ambiguous
word forms. The complete package is freely available and can be downloaded from
the World Wide Web.","['Wolfgang Lezius', 'Reinhard Rapp', 'Manfred Wettler']",1998-09-23T12:59:39Z,"['german', 'available', 'context', 'context sensitive', 'form', 'freely', 'freely available', 'lemmatizer', 'morphological', 'part', 'part speech', 'sensitive', 'speech', 'tagger', 'wide']"
http://arxiv.org/abs/cs/9809106v1,Processing Unknown Words in HPSG,"The lexical acquisition system presented in this paper incrementally updates
linguistic properties of unknown words inferred from their surrounding context
by parsing sentences with an HPSG grammar for German. We employ a gradual,
information-based concept of ``unknownness'' providing a uniform treatment for
the range of completely known to maximally unknown lexical entries. ``Unknown''
information is viewed as revisable information, which is either generalizable
or specializable. Updating takes place after parsing, which only requires a
modified lexical lookup. Revisable pieces of information are identified by
grammar-specified declarations which provide access paths into the parse
feature structure. The updating mechanism revises the corresponding places in
the lexical feature structures iff the context actually provides new
information. For revising generalizable information, type union is required. A
worked-out example demonstrates the inferential capacity of our implemented
system.","['Petra Barg', 'Markus Walther']",1998-09-25T11:02:08Z,"['information', 'lexical', 'unknown', 'context', 'feature', 'feature structure', 'generalizable', 'grammar', 'hpsg', 'parsing', 'place', 'revisable', 'structure', 'system', 'unknown word']"
http://arxiv.org/abs/cs/9809107v1,Computing Declarative Prosodic Morphology,"This paper describes a computational, declarative approach to prosodic
morphology that uses inviolable constraints to denote small finite candidate
sets which are filtered by a restrictive incremental optimization mechanism.
The new approach is illustrated with an implemented fragment of Modern Hebrew
verbs couched in MicroCUF, an expressive constraint logic formalism. For
generation and parsing of word forms, I propose a novel off-line technique to
eliminate run-time optimization. It produces a finite-state oracle that
efficiently restricts the constraint interpreter's search space. As a
byproduct, unknown words can be analyzed without special mechanisms. Unlike
pure finite-state transducer approaches, this hybrid setup allows for more
expressivity in constraints to specify e.g. token identity for reduplication or
arithmetic constraints for phonetics.",['Markus Walther'],1998-09-25T14:32:38Z,"['constraint', 'approach', 'finite', 'declarative', 'finite state', 'mechanism', 'morphology', 'optimization', 'prosodic', 'prosodic morphology', 'state', 'word', 'allows', 'allows expressivity', 'analyzed']"
