keyword,degree,betweenness,eigenvector,closeness
segment,0.02346368715083799,3.572200838670938e-05,0.0040642377407228815,0.4775880469583778
document,0.26145251396648045,0.005960469755484925,0.07430684029456976,0.5375375375375375
present,0.14525139664804468,0.002375212281561664,0.028922988741767346,0.5227803738317757
segmentation,0.13519553072625698,0.002390040112749936,0.03146988317987891,0.518539976825029
term,0.19441340782122904,0.004210228248521264,0.043171137955436284,0.5327380952380952
along,0.04469273743016759,0.00041611833134281233,0.0055518459557649495,0.5053642010163749
approach,0.5195530726256983,0.024516414504945763,0.20352118451623766,0.5766752577319587
dialog,0.029050279329608936,5.58211214680846e-05,0.004780604467829883,0.4753053637812002
act,0.05810055865921787,0.0002960326396710715,0.012377489776299138,0.4890710382513661
assumption,0.048044692737430165,0.0004064344792485625,0.008077246392866241,0.5025266704098821
logic,0.10949720670391061,0.002928091958000287,0.019703736052029443,0.5212580081537566
model,0.5698324022346368,0.02260744407601397,0.26642416401351304,0.5693384223918575
notion,0.036871508379888264,0.0003031521035192533,0.002946838150032849,0.48933843630399126
relation,0.20558659217877093,0.0039025969329821446,0.044861175909820646,0.5314726840855107
speech,0.29050279329608936,0.007291599551328111,0.11103541559504054,0.5457317073170732
grammar,0.31620111731843575,0.008962868279807398,0.08296526591307248,0.5444038929440389
report,0.029050279329608936,0.00014267520527851577,0.003948915159950945,0.4936569222283508
english,0.29050279329608936,0.009024234012821236,0.09823440259177976,0.5507692307692308
noun,0.14636871508379887,0.0026146212019484256,0.025942973102313808,0.5270906949352179
tag,0.0670391061452514,0.0012303418244517797,0.00893745212889679,0.5088118249005117
adjunct,0.036871508379888264,0.0001919919511474922,0.0043219748493345325,0.48326133909287255
based,0.6201117318435754,0.026672922181314115,0.27117576878555993,0.5704270235818993
clause,0.03128491620111731,0.0002567836333602532,0.002818961418477147,0.46157813305827744
construction,0.09497206703910614,0.0011581460041553123,0.017776566216874148,0.5155529953917051
formalism,0.061452513966480445,0.000509242069842822,0.008672602886258773,0.5065082059988681
probability,0.08044692737430167,0.000683814207320361,0.017837670702970643,0.49888517279821626
stochastic,0.026815642458100558,6.104802994702093e-05,0.0058151455848277425,0.48694232861806314
algorithm,0.4312849162011173,0.018467259569373787,0.13140886764126058,0.5700636942675159
language,0.7910614525139664,0.036915373983748084,0.40926437296374835,0.581924577373212
adjoining,0.06033519553072625,0.00101250817210768,0.01030688769526263,0.4939293598233996
adjoining grammar,0.034636871508379886,8.304084414458644e-05,0.007477201487968456,0.45293522267206476
form,0.17094972067039105,0.003730315048932224,0.039315809044334425,0.5267804590935845
language model,0.13631284916201117,0.0018771360673276807,0.07373405942030697,0.5149597238204833
probabilistic,0.10837988826815642,0.0017024231781526413,0.024130125837615826,0.5212580081537566
condition,0.03128491620111731,0.0001265521041334815,0.0034315705120724405,0.48588490770901194
string,0.029050279329608936,0.00011485383608340508,0.005428926205428222,0.4750530785562633
assigned,0.03240223463687151,0.0001652287969382338,0.0043696619086483375,0.4806659505907626
give,0.03910614525139664,0.00028164910352019423,0.004416814610025626,0.4819601507808293
